"","country","date","ccode","year","Month","Election.Lower","Inauguration.Lower","Election.Upper","Inauguration.Upper","Election.Exec","Inauguration.Exec","Combo","who","sessions","reservedareasecandfin","urgencybills","residualdecree","cdacontent","cdaoutcome","referendum2","budgetspending","budgetoutcome","vetochambers","vetooverride","lineitem","partialobservationsoverride","budgetveto","h_ballot","h_vote","h_pool","s_ballot","s_vote","s_pool","hpartys","govsh","mingov","govcoal"
"108","Argentina",Dec 1987,10,1987,"December",NA,NA,NA,NA,NA,NA,5,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,0.509881436824799,0.509881436824799,0,0
"109","Argentina",Jan 1988,10,1988,"January",NA,NA,NA,NA,NA,NA,5,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,0.509881436824799,0.509881436824799,0,0
"110","Argentina",Feb 1988,10,1988,"February",NA,1,NA,1,NA,NA,6,1,1,0,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,0.451999992132187,0.451999992132187,1,0
"111","Argentina",Mar 1988,10,1988,"March",NA,NA,NA,NA,NA,NA,6,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,0.451999992132187,0.451999992132187,1,0
"112","Argentina",Apr 1988,10,1988,"April",NA,NA,NA,NA,NA,NA,6,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,0.451999992132187,0.451999992132187,1,0
"113","Argentina",May 1988,10,1988,"May",NA,NA,NA,NA,NA,NA,6,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,0.451999992132187,0.451999992132187,1,0
"114","Argentina",Jun 1988,10,1988,"June",NA,NA,NA,NA,NA,NA,6,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,0.451999992132187,0.451999992132187,1,0
"115","Argentina",Jul 1988,10,1988,"July",NA,NA,NA,NA,NA,NA,6,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,0.451999992132187,0.451999992132187,1,0
"116","Argentina",Aug 1988,10,1988,"August",NA,NA,NA,NA,NA,NA,6,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,0.451999992132187,0.451999992132187,1,0
"117","Argentina",Sep 1988,10,1988,"September",NA,NA,NA,NA,NA,NA,6,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,0.451999992132187,0.451999992132187,1,0
"118","Argentina",Oct 1988,10,1988,"October",NA,NA,NA,NA,NA,NA,6,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,0.451999992132187,0.451999992132187,1,0
"119","Argentina",Nov 1988,10,1988,"November",NA,NA,NA,NA,NA,NA,6,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,0.451999992132187,0.451999992132187,1,0
